address,type,x-text
0x4be588,string,"--App was minimized.  Resetting.\n"
0x4be5ac,string,"Maximizing App\n"
0x4be5bc,string,"Minimizing App\n"
0x4be5cc,string,"--Telling the window to maximize\n"
0x4be5f0,string,"--App was disabled\n"
0x4be604,string,"Activate Window\n"
0x4be618,string,"--App was enabled\n"
0x4be62c,string,"Deactivate Window\n"
0x4be800,string,"skymat"
0x4be808,string,".skb"
0x4be810,string,".ccb"
0x4be818,string,".cmb"
0x4be820,string,"Too many CheckPoints"
0x4be838,string,".cpb"
0x4be840,string,"GAMEDATA\\COMMON"
0x4be850,string,"GAMEDATA\\"
0x4be85c,string,".crb"
0x4be864,string,"pelvis"
0x4be86c,string,".ddb"
0x4be874,string,"drivers.srf"
0x4be880,string,".ghb"
0x4be8b0,string,"ignum"
0x4be8b8,string,"font_ths"
0x4be8c4,string,"%d"
0x4be8c8,string,"%d/%d"
0x4be8e8,string,"Usage: LEGORacers [options]\n\t[options] include:\n\t\t-novideo\t:disables video playback at the beginning of game\n\t\t-window\t:runs application in a window\n\t\t-primary\t:force use of primary display device\n\t\t-select3d\t:allows user to select 3D device\n\t\t-alphatrans\t:force use of alpha transparency\n\t\t-horzres res\t:where res is the desired horizontal resolution\n\t\t-vertres res\t:where res is the desired vertical resolution\n"
0x4bea88,string,"lego.jam"
0x4bea94,string,"c0"
0x4bea98,string,"racec0r0"
0x4beaa4,string,"LEGO Racers"
0x4beab0,string,"introcmp.avi"
0x4beac0,string,"hvscmp.avi"
0x4beacc,string,"lmicmp.avi"
0x4bead8,string,"Unable to initialize display - out of video memory"
0x4beb0c,string,"LEGO Racers Usage:"
0x4beb20,string,"-vertres"
0x4beb2c,string,"-horzres"
0x4beb38,string,"-alphatrans"
0x4beb44,string,"-window"
0x4beb4c,string,"-select3d"
0x4beb58,string,"-primary"
0x4beb64,string,"-novideo"
0x4beb94,string,"MENUDATA"
0x4beba0,string,"genc0r0"
0x4beba8,string,"legomsc"
0x4bebb0,string,"GImages"
0x4bebb8,string,"menuname.srf"
0x4bebc8,string,"LEGORace"
0x4bebd4,string,"gstyles"
0x4bebdc,string,"GFonts"
0x4bebe4,string,"circuit.srf"
0x4bebf0,string,"menutext.srf"
0x4bec00,string,"L_Colors.LEG"
0x4bec10,string,"LPieceLo.WDF"
0x4bec20,string,"LPieceLo.leg"
0x4bec30,string,"MENUDATA\\PIECEDB"
0x4bec48,string,"Unable to load mesh builder with car data"
0x4bec74,string,"bodypart.pcf"
0x4bec84,string,"MENUDATA\\PARTDB"
0x4bec94,string,"chassis.cmf"
0x4beca0,string,"crstmgr.leg"
0x4becac,string,"LPieceHi.WDF"
0x4becbc,string,"LPieceHi.leg"
0x4beccc,string,"LEGO%d.bmp"
0x4becfc,string,"MENUDATA\\"
0x4bed08,string,"LangID"
0x4bed10,string,"Software\\LEGO Media\\Games\\LEGO Racers\\0.90.000"
0x4bed44,string,"loadscrn"
0x4bed50,string,".lsb"
0x4bed58,string,"Fatal Error"
0x4bed64,string,"Unknown error condition occured"
0x4bed84,string,"Assertion Failed"
0x4bed98,string,"Critical resource busy"
0x4bedb0,string,"Out of memory error occured"
0x4bedcc,string,"Invalid value detected"
0x4bede4,string,"Invalid parameter detected"
0x4bee00,string,"General error occurred"
0x4bee18,string,"Invalid error condition"
0x4bee34,string,"Microsoft SideWinder Force Feed"
0x4bee94,string,".rab"
0x4bee9c,string,"GAMEDATA\\VOICES"
0x4beeac,string,"voice29"
0x4beeb4,string,"voice"
0x4beebc,string,"game.srf"
0x4beec8,string,"GAMEDATA\\COMMON\\"
0x4beedc,string,".rrf"
0x4beee4,string,".rrb"
0x4beeec,string,"r1_f_0"
0x4beef4,string,"Could not acquire controller for player"
0x4bef1c,string,"Unable to find circuit"
0x4bef34,string,".rcb"
0x4bef48,string,"chassis"
0x4bef50,string,"champs"
0x4bef58,string,"drivers"
0x4bef60,string,".spb"
0x4bef7c,string,"%ld"
0x4bef88,string,"qbuild.lrs"
0x4bef94,string,"default.lrs"
0x4befa0,string,"Save\\"
0x4befa8,string,"Corrupt install - invalid default save file"
0x4befd8,string,"LEGORac1"
0x4befe4,string,".tmb"
0x4c17f0,string,"file %s\non line %d\n"
0x4c1804,string,".txt"
0x4c180c,string,"Cannot write invalid token"
0x4c1828,string,"%f"
0x4c1830,string,"file %s\n"
0x4c183c,string,".bin"
0x4c1844,string,"\\"
0x4c18b0,string,"Invalid character encoutered"
0x4c18d0,string,"Attempt to read past file end"
0x4c18f0,string,"Unable to seek"
0x4c1900,string,"Unable to write"
0x4c1910,string,"Unable to read"
0x4c1920,string,"Invalid name"
0x4c1930,string,"Exceeded maximum files open"
0x4c194c,string,"File already exists"
0x4c1960,string,"Access denied"
0x4c1970,string,"File not found"
0x4c1980,string,"File not open"
0x4c1990,string,"Operation not supported"
0x4c19a8,string,"I/O Busy error"
0x4c19b8,string,"Out of memory error"
0x4c19cc,string,"Invalid value"
0x4c19dc,string,"Invalid parameter"
0x4c19f0,string,"General I/O error"
0x4c1a04,string,"Not a error"
0x4c1a10,string,"Unable to build pathname, too many chars"
0x4c1a40,string,"Error reading JAM file."
0x4c1ab4,string,"Expected keyword"
0x4c1ac8,string,"Unexpected keyword"
0x4c1adc,string,"Unsupported"
0x4c1ae8,string,"Duplicate name"
0x4c1af8,string,"Invalid string"
0x4c1b08,string,"Invalid keyword"
0x4c1b18,string,"Expected string or bracket"
0x4c1b34,string,"Expected EOF"
0x4c1b44,string,"Expected semicolon"
0x4c1b58,string,"Expected comma"
0x4c1b68,string,"Expected right bracket"
0x4c1b80,string,"Expected left bracket"
0x4c1b98,string,"Expected right curly"
0x4c1bb0,string,"Expected left curly"
0x4c1bc4,string,"Expected int"
0x4c1bd4,string,"Expected float"
0x4c1be4,string,"Expected string"
0x4c1bf4,string,"Numeric too long"
0x4c1c08,string,"Syntax error"
0x4c1c18,string,"I/O error occurred\nfile %s\n"
0x4c1c34,string,"Unknown error."
0x4c1c44,string,"canstrk"
0x4c1c5c,string,"mslstrk"
0x4c1c68,string,".pwb"
0x4c1c70,string,".tgb"
0x4c1c78,string,".evb"
0x4c1c80,string,".tib"
0x4c1c88,string,".trb"
0x4c1c90,string,"blended"
0x4c1c98,string,"Invalid cinema file, at least 1 cinema is required"
0x4c1cd0,string,"Dialog.mid"
0x4c1cdc,string,".mib"
0x4c1ce4,string,".fdf"
0x4c1cec,string,".idf"
0x4c1cf4,string,".mid"
0x4c1cfc,string,".msd"
0x4c1d04,string,".msb"
0x4c1d28,string,"carbuild.srf"
0x4c1d5c,string,"MENUDATA\\%s"
0x4c1d68,string,"CHAMP"
0x4c1f78,string,"MENUDATA\\GARAGE"
0x4c1fa0,string,".srf"
0x4c2028,string,"NMRCHTS"
0x4c2030,string,"NDRVR"
0x4c2038,string,"NCHSSS"
0x4c2040,string,"NWHLS"
0x4c2048,string,"FSTFRWRD"
0x4c2054,string,"MXPMX"
0x4c205c,string,"RPCRNLY"
0x4c2064,string,"LNFRRRM"
0x4c206c,string,"PGLLGRN"
0x4c2074,string,"PGLLYLL"
0x4c207c,string,"PGLLRD"
0x4c2084,string,"FLYSKYHGH"
0x4c2090,string,"NSLWJ"
0x4c2098,string,"cmaman"
0x4c20a8,string,"Builder"
0x4c20d0,string,"MENUDATA\\CB_SET"
0x4c20e0,string,"cbanim"
0x4c20f8,string,"test"
0x4c2110,string,"champs.ccf"
0x4c211c,string,"drivers.ddf"
0x4c2130,string,"MENUDATA\\MAININTR"
0x4c2154,string,"legoman"
0x4c217c,string,"legs"
0x4c2184,string,"torso"
0x4c218c,string,"face"
0x4c21d4,string,"rsanim"
0x4c21dc,string,"MENUDATA\\RS_SET"
0x4c21ec,string,"crsdow"
0x4c2210,string,"MENUDATA\\CREDITS"
0x4c2224,string,"MENUDATA\\LEGAL"
0x4c2234,string,"MENUDATA\\HVSINTRO"
0x4c2248,string,"MENUDATA\\LEGOINTR"
0x4c225c,string,"MENUDATA\\N64INTR"
0x4c22a8,string,"MENUDATA\\SINGRACE"
0x4c22c4,string,".emb"
0x4c22cc,string,".hzb"
0x4c22d4,string,"rk"
0x4c2310,string,"Unable to open LEGO Color file"
0x4c2330,string,".leb"
0x4c2338,string,"bodypart.mdf"
0x4c2348,string,"bodypart.tdf"
0x4c2358,string,".pcb"
0x4c2360,string,"Too many hats!"
0x4c2370,string,"Too many faces!"
0x4c2380,string,"Too many torsos"
0x4c2390,string,"Too many legs!"
0x4c23a0,string,"Too many head hats!"
0x4c23cc,string,"Unable to open LEGO Car Set file"
0x4c23f8,string,"Unable to open LEGO Brick DataBase"
0x4c241c,string,": unable to find jointed model"
0x4c243c,string,": unable to find model"
0x4c2454,string,": unable to find bsp model"
0x4c2470,string,".ceb"
0x4c2478,string,"Unable to open: "
0x4c248c,string,": Unable to find effect"
0x4c24a4,string,": Unable to find image"
0x4c24bc,string,": Unable to find font"
0x4c24d4,string,"Invalid string manager offset encountered"
0x4c2500,string,"Unable to get ActiveMovie notify event handle"
0x4c2530,string,"Unable to initialize ActiveMovie media event interface"
0x4c2568,string,"Unable to open the video file:\n%s"
0x4c258c,string,"Unable to run ActiveMovie"
0x4c25a8,string,"Unable to get ActiveMovie media control"
0x4c25d0,string,"Unable to set message drain"
0x4c25ec,string,"Unable to get ActiveMovie video window control"
0x4c261c,string,"Unable to stop ActiveMovie"
0x4c2638,string,"Unable to get ActiveMovie media current position"
0x4c266c,string,"Unable to get ActiveMovie media length"
0x4c2694,string,"Unable to get ActiveMovie media position control"
004c7280,widechar,""
